City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Kaoma,ZM,-14.7833,24.8,61.14,37,43,5.91,scattered clouds
299,Castro,BR,-24.7911,-50.0119,61.03,83,1,5.57,clear sky
300,Namibe,AO,-15.1961,12.1522,61.5,91,40,4.92,scattered clouds
301,Port Macquarie,AU,-31.4333,152.9167,66.38,45,95,5.77,overcast clouds
302,Andenes,NO,69.3143,16.1194,55.38,82,99,18.41,overcast clouds
303,Tuatapere,NZ,-46.1333,167.6833,55.81,47,5,4.45,clear sky
304,Saint Anthony,US,45.0205,-93.218,69.69,80,1,1.01,clear sky
305,Mizan Teferi,ET,6.9833,35.5833,57.83,92,14,3.13,few clouds
306,Paka,MY,4.6374,103.4368,84.13,79,40,2.3,scattered clouds
307,Gat,IL,31.61,34.7642,76.91,100,0,3.65,clear sky
308,Port Elizabeth,ZA,-33.918,25.5701,62.89,94,0,12.66,clear sky
309,Fonte Boa,BR,-2.4959,-66.2662,72.5,98,65,1.81,broken clouds
310,Griffith,US,41.5284,-87.4237,75.88,52,1,1.01,clear sky
311,Bethel,US,41.3712,-73.414,62.49,82,1,0.0,clear sky
312,Dubuque,US,42.4833,-90.8668,69.55,73,1,9.22,clear sky
313,Nampula,MZ,-15.1165,39.2666,69.75,83,20,3.44,few clouds
314,Annau,TM,37.8876,58.516,58.5,72,75,4.61,broken clouds
315,Alice Springs,AU,-23.7,133.8833,90.95,8,64,17.27,broken clouds
316,Epiniana,GR,39.1429,21.6134,55.76,42,0,1.92,clear sky
317,Katsuura,JP,35.1333,140.3,81.1,64,27,18.52,scattered clouds
318,Zetaquira,CO,5.2822,-73.169,58.77,96,27,3.42,scattered clouds
319,Sao Domingos,BR,-13.3983,-46.3183,76.71,34,27,8.43,scattered clouds
320,Ilulissat,GL,69.2167,-51.1,21.22,42,1,4.61,clear sky
321,Ejido,VE,8.5514,-71.2375,65.8,89,45,5.21,scattered clouds
322,Teguise,ES,29.0605,-13.564,68.22,88,14,13.8,few clouds
323,Beaverlodge,CA,55.2166,-119.4361,54.75,76,64,1.28,broken clouds
324,Batticaloa,LK,7.7102,81.6924,83.57,66,100,7.11,overcast clouds
325,Leh,IN,34.1667,77.5833,56.8,23,0,0.85,clear sky
326,Esfarayen,IR,37.0765,57.5101,44.26,52,10,2.53,clear sky
327,Launceston,AU,-41.45,147.1667,59.81,66,40,5.99,scattered clouds
328,Springhill,US,33.006,-93.4668,75.63,59,94,5.91,overcast clouds
329,Iranshahr,IR,27.2025,60.6848,82.74,39,0,4.61,clear sky
330,Kautokeino,NO,69.0125,23.0412,42.3,85,18,7.0,few clouds
331,Sitka,US,57.0531,-135.33,53.49,58,90,9.22,overcast clouds
332,Fort Myers Beach,US,26.452,-81.9481,82.45,79,40,1.99,scattered clouds
333,Kiruna,SE,67.8557,20.2251,45.52,87,90,9.22,overcast clouds
334,Toora-Khem,RU,52.4675,96.11,30.0,83,100,7.47,snow
335,Taltal,CL,-25.4,-70.4833,61.63,72,10,4.61,clear sky
336,Seoul,KR,37.5683,126.9778,74.71,54,0,9.22,clear sky
337,Constitucion,CL,-35.3333,-72.4167,49.75,70,46,7.49,scattered clouds
338,Macherla,IN,16.4833,79.4333,76.1,93,100,8.77,very heavy rain
339,Karratha,AU,-20.7377,116.8463,80.94,25,5,10.96,clear sky
340,Asau,RO,46.4333,26.4,56.32,91,1,1.9,light rain
341,Mjolby,SE,58.326,15.1237,49.73,95,33,6.91,scattered clouds
342,Ferme-Neuve,CA,46.7001,-75.4493,51.58,81,97,4.12,overcast clouds
343,Lagoa,PT,39.05,-27.9833,66.56,67,62,20.15,broken clouds
344,Lisala,CD,2.15,21.5167,69.21,95,100,2.19,overcast clouds
345,Lagos,NG,6.5833,3.75,79.12,93,71,2.48,broken clouds
346,Port Hedland,AU,-20.3167,118.5667,86.05,21,37,12.66,scattered clouds
